|sentence_text|sentence_number|paragraph_number|title|publication_date|genre
22|The action, however, was but momentary, his gaze returned mechanically to the wall. 3695|0|14|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
23|To his extreme horror and astonishment, the head of the gigantic steed had, in the meantime, altered its position. 3778|1|14|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
24|The neck of the animal, before arched, as if in compassion, over the prostrate body of its lord, was now extended, at full length, in the direction of the Baron. 3892|2|14|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
25|The eyes, before invisible, now wore an energetic and human expression, while they gleamed with a fiery and unusual red; and the distended lips of the apparently enraged horse left in full view his gigantic and disgusting teeth. 4053|3|14|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
26|Stupefied with terror, the young nobleman tottered to the door. 4281|0|15|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
27|As he threw it open, a flash of red light, streaming far into the chamber, flung his shadow with a clear outline against the quivering tapestry, and he shuddered to perceive that shadow–as he staggered awhile upon the threshold–assuming the exact position, and precisely filling up the contour, of the relentless and triumphant murderer of the Saracen Berlifitzing. 4344|1|15|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
28|To lighten the depression of his spirits, the Baron hurried into the open air. 4709|0|16|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
29|At the principal gate of the palace he encountered three equerries. 4787|1|16|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
30|With much difficulty, and at the imminent peril of their lives, they were restraining the convulsive plunges of a gigantic and fiery-colored horse. 4854|2|16|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
31|"""Whose horse? 5001"|0|17|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
32|"Where did you get him""? 5014"|1|17|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
33|demanded the youth, in a querulous and husky tone of voice, as he became instantly aware that the mysterious steed in the tapestried chamber was the very counterpart of the furious animal before his eyes. 5037|2|17|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
34|"""He is your own property, sire,"" replied one of the equerries, ""at least he is claimed by no other owner. 5241"|0|18|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
35|We caught him flying, all smoking and foaming with rage, from the burning stables of the Castle Berlifitzing. 5346|1|18|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
36|Supposing him to have belonged to the old Count's stud of foreign horses, we led him back as an estray. 5455|2|18|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
37|But the grooms there disclaim any title to the creature; which is strange, since he bears evident marks of having made a narrow escape from the flames. 5558|3|18|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
38|"""The letters W. V. B. are also branded very distinctly on his forehead,"" interrupted a second equerry, ""I supposed them, of course, to be the initials of Wilhelm Von Berlifitzing–but all at the castle are positive in denying any knowledge of the horse"". 5709"|0|19|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
39|But there are some points in the Hungarian superstition which were fast verging to absurdity. 5962|0|2|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
40|They–the Hungarians–differed very essentially from their Eastern authorities. 6055|1|2|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
41|"For example, ""The soul,"" said the former–I give the words of an acute and intelligent Parisian–""ne demeure qu'un seul fois dans un corps sensible: au reste–un cheval, un chien, un homme meme, n'est que la ressemblance peu tangible de ces animaux"". 6132"|2|2|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
42|"""Extremely singular""! 6379"|0|20|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
43|said the young Baron, with a musing air, and apparently unconscious of the meaning of his words. 6400|1|20|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
44|"""He is, as you say, a remarkable horse–a prodigious horse! 6496"|2|20|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
45|"although, as you very justly observe, of a suspicious and untractable character, let him be mine, however,"" he added, after a pause, ""perhaps a rider like Frederick of Metzengerstein, may tame even the devil from the stables of Berlifitzing"". 6554"|3|20|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
46|"""You are mistaken, my lord; the horse, as I think we mentioned, is not from the stables of the Count. 6796"|0|21|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
47|"If such had been the case, we know our duty better than to bring him into the presence of a noble of your family"". 6897"|1|21|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
48|"""True""! 7011"|0|22|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
49|observed the Baron, dryly, and at that instant a page of the bedchamber came from the palace with a heightened color, and a precipitate step. 7018|1|22|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
50|He whispered into his master's ear an account of the sudden disappearance of a small portion of the tapestry, in an apartment which he designated; entering, at the same time, into particulars of a minute and circumstantial character; but from the low tone of voice in which these latter were communicated, nothing escaped to gratify the excited curiosity of the equerries. 7159|2|22|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
51|The young Frederick, during the conference, seemed agitated by a variety of emotions. 7531|0|23|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
52|He soon, however, recovered his composure, and an expression of determined malignancy settled upon his countenance, as he gave peremptory orders that a certain chamber should be immediately locked up, and the key placed in his own possession. 7616|1|23|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
53|"""Have you heard of the unhappy death of the old hunter Berlifitzing""? 7858"|0|24|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
54|said one of his vassals to the Baron, as, after the departure of the page, the huge steed which that nobleman had adopted as his own, plunged and curvetted, with redoubled fury, down the long avenue which extended from the chateau to the stables of Metzengerstein. 7927|1|24|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
55|"""No""! 8191"|0|25|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
56|"said the Baron, turning abruptly toward the speaker, ""dead! 8196"|1|25|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
57|"say you""? 8255"|2|25|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
58|"""It is indeed true, my lord; and, to a noble of your name, will be, I imagine, no unwelcome intelligence"". 8264"|0|26|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
59|A rapid smile shot over the countenance of the listener. 8370|0|27|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
60|"""How died he""? 8426"|1|27|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
61|"""In his rash exertions to rescue a favorite portion of his hunting stud, he has himself perished miserably in the flames"". 8440"|0|28|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
62|"""I-n-d-e-e-d-""! 8562"|0|29|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
63|ejaculated the Baron, as if slowly and deliberately impressed with the truth of some exciting idea. 8577|1|29|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
64|The families of Berlifitzing and Metzengerstein had been at variance for centuries. 8676|0|3|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
65|Never before were two houses so illustrious, mutually embittered by hostility so deadly. 8759|1|3|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
66|"Indeed at the era of this history, it was observed by an old crone of haggard and sinister appearance, that ""fire and water might sooner mingle than a Berlifitzing clasp the hand of a Metzengerstein"". 8847"|2|3|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
67|"The origin of this enmity seems to be found in the words of an ancient prophecy–""A lofty name shall have a fearful fall when, as the rider over his horse, the mortality of Metzengerstein shall triumph over the immortality of Berlifitzing"". 9047"|3|3|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
68|"""Indeed;"" repeated the vassal. 9286"|0|30|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
69|"""Shocking""! 9316"|0|31|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
70|said the youth, calmly, and turned quietly into the chateau. 9327|1|31|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
71|From this date a marked alteration took place in the outward demeanor of the dissolute young Baron Frederick Von Metzengerstein. 9387|0|32|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
72|Indeed, his behavior disappointed every expectation, and proved little in accordance with the views of many a manoeuvering mamma; while his habits and manner, still less than formerly, offered any thing congenial with those of the neighboring aristocracy. 9515|1|32|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
73|He was never to be seen beyond the limits of his own domain, and, in this wide and social world, was utterly companionless–unless, indeed, that unnatural, impetuous, and fiery-colored horse, which he henceforward continually bestrode, had any mysterious right to the title of his friend. 9770|2|32|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
74|Numerous invitations on the part of the neighborhood for a long time, however, periodically came in. 10057|0|33|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
75|"""Will the Baron honor our festivals with his presence""? 10157"|1|33|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
76|"""Will the Baron join us in a hunting of the boar""? 10212"|2|33|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
77|"–""Metzengerstein does not hunt;"" ""Metzengerstein will not attend,"" were the haughty and laconic answers. 10262"|3|33|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
78|These repeated insults were not to be endured by an imperious nobility. 10366|0|34|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
79|Such invitations became less cordial–less frequent–in time they ceased altogether. 10437|1|34|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
80|"The widow of the unfortunate Count Berlifitzing was even heard to express a hope ""that the Baron might be at home when he did not wish to be at home, since he disdained the company of his equals; and ride when he did not wish to ride, since he preferred the society of a horse"". 10519"|2|34|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
81|This to be sure was a very silly explosion of hereditary pique; and merely proved how singularly unmeaning our sayings are apt to become, when we desire to be unusually energetic. 10797|3|34|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
82|The charitable, nevertheless, attributed the alteration in the conduct of the young nobleman to the natural sorrow of a son for the untimely loss of his parents–forgetting, however, his atrocious and reckless behavior during the short period immediately succeeding that bereavement. 10976|0|35|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
83|Some there were, indeed, who suggested a too haughty idea of self-consequence and dignity. 11258|1|35|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
84|Others again (among them may be mentioned the family physician) did not hesitate in speaking of morbid melancholy, and hereditary ill-health; while dark hints, of a more equivocal nature, were current among the multitude. 11348|2|35|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
85|Indeed, the Baron's perverse attachment to his lately-acquired charger–an attachment which seemed to attain new strength from every fresh example of the animal's ferocious and demon-like propensities- at length became, in the eyes of all reasonable men, a hideous and unnatural fervor. 11569|0|36|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
86|In the glare of noon–at the dead hour of night–in sickness or in health–in calm or in tempest–the young Metzengerstein seemed rivetted to the saddle of that colossal horse, whose intractable audacities so well accorded with his own spirit. 11854|1|36|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
87|There were circumstances, moreover, which coupled with late events, gave an unearthly and portentous character to the mania of the rider, and to the capabilities of the steed. 12093|0|37|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
88|The space passed over in a single leap had been accurately measured, and was found to exceed, by an astounding difference, the wildest expectations of the most imaginative. 12268|1|37|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
89|The Baron, besides, had no particular name for the animal, although all the rest in his collection were distinguished by characteristic appellations. 12440|2|37|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
90|His stable, too, was appointed at a distance from the rest; and with regard to grooming and other necessary offices, none but the owner in person had ventured to officiate, or even to enter the enclosure of that particular stall. 12589|3|37|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
91|It was also to be observed, that although the three grooms, who had caught the steed as he fled from the conflagration at Berlifitzing, had succeeded in arresting his course, by means of a chain-bridle and noose–yet no one of the three could with any certainty affirm that he had, during that dangerous struggle, or at any period thereafter, actually placed his hand upon the body of the beast. 12818|4|37|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
92|Instances of peculiar intelligence in the demeanor of a noble and high-spirited horse are not to be supposed capable of exciting unreasonable attention–especially among men who, daily trained to the labors of the chase, might appear well acquainted with the sagacity of a horse–but there were certain circumstances which intruded themselves per force upon the most skeptical and phlegmatic; and it is said there were times when the animal caused the gaping crowd who stood around to recoil in horror from the deep and impressive meaning of his terrible stamp–times when the young Metzengerstein turned pale and shrunk away from the rapid and searching expression of his earnest and human-looking eye. 13212|5|37|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
93|Among all the retinue of the Baron, however, none were found to doubt the ardor of that extraordinary affection which existed on the part of the young nobleman for the fiery qualities of his horse; at least, none but an insignificant and misshapen little page, whose deformities were in everybody's way, and whose opinions were of the least possible importance. 13912|0|38|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
94|He–if his ideas are worth mentioning at all–had the effrontery to assert that his master never vaulted into the saddle without an unaccountable and almost imperceptible shudder, and that, upon his return from every long-continued and habitual ride, an expression of triumphant malignity distorted every muscle in his countenance. 14273|1|38|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
95|One tempestuous night, Metzengerstein, awaking from a heavy slumber, descended like a maniac from his chamber, and, mounting in hot haste, bounded away into the mazes of the forest. 14602|0|39|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
96|An occurrence so common attracted no particular attention, but his return was looked for with intense anxiety on the part of his domestics, when, after some hours' absence, the stupendous and magnificent battlements of the Chateau Metzengerstein, were discovered crackling and rocking to their very foundation, under the influence of a dense and livid mass of ungovernable fire. 14783|1|39|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
97|To be sure the words themselves had little or no meaning. 15161|0|4|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
98|But more trivial causes have given rise–and that no long while ago–to consequences equally eventful. 15218|1|4|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
99|Besides, the estates, which were contiguous, had long exercised a rival influence in the affairs of a busy government. 15318|2|4|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
100|Moreover, near neighbors are seldom friends; and the inhabitants of the Castle Berlifitzing might look, from their lofty buttresses, into the very windows of the palace Metzengerstein. 15436|3|4|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
101|Least of all had the more than feudal magnificence, thus discovered, a tendency to allay the irritable feelings of the less ancient and less wealthy Berlifitzings. 15620|4|4|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
102|What wonder then, that the words, however silly, of that prediction, should have succeeded in setting and keeping at variance two families already predisposed to quarrel by every instigation of hereditary jealousy? 15783|5|4|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
103|The prophecy seemed to imply–if it implied anything–a final triumph on the part of the already more powerful house; and was of course remembered with the more bitter animosity by the weaker and less influential. 15997|6|4|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
104|As the flames, when first seen, had already made so terrible a progress that all efforts to save any portion of the building were evidently futile, the astonished neighborhood stood idly around in silent and pathetic wonder. 16208|0|40|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
105|But a new and fearful object soon rivetted the attention of the multitude, and proved how much more intense is the excitement wrought in the feelings of a crowd by the contemplation of human agony, than that brought about by the most appalling spectacles of inanimate matter. 16432|1|40|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
106|"Up the long avenue of aged oaks which led from the forest to the main entrance of the Chateau Metzengerstein, a steed, bearing an unbonneted and disordered rider, was seen leaping with an impetuosity which outstripped the very Demon of the Tempest, and extorted from every stupefied beholder the ejaculation–""horrible"". 16707"|0|41|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
107|The career of the horseman was indisputably, on his own part, uncontrollable. 17026|0|42|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
108|The agony of his countenance, the convulsive struggle of his frame, gave evidence of superhuman exertion: but no sound, save a solitary shriek, escaped from his lacerated lips, which were bitten through and through in the intensity of terror. 17103|1|42|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
109|One instant, and the clattering of hoofs resounded sharply and shrilly above the roaring of the flames and the shrieking of the winds–another, and, clearing at a single plunge the gate-way and the moat, the steed bounded far up the tottering staircases of the palace, and, with its rider, disappeared amid the whirlwind of chaotic fire. 17345|2|42|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
110|The fury of the tempest immediately died away, and a dead calm sullenly succeeded. 17681|0|43|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
111|A white flame still enveloped the building like a shroud, and, streaming far away into the quiet atmosphere, shot forth a glare of preternatural light; while a cloud of smoke settled heavily over the battlements in the distinct colossal figure of–a horse. 17763|1|43|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
112|Wilhelm, Count Berlifitzing, although loftily descended, was, at the epoch of this narrative, an infirm and doting old man, remarkable for nothing but an inordinate and inveterate personal antipathy to the family of his rival, and so passionate a love of horses, and of hunting, that neither bodily infirmity, great age, nor mental incapacity, prevented his daily participation in the dangers of the chase. 18018|0|5|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
113|Frederick, Baron Metzengerstein, was, on the other hand, not yet Mary, followed him quickly after. 18424|0|6|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
114|Frederick was, at that time, in his fifteenth year. 18522|1|6|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
115|In a city, fifteen years are no long period–a child may be still a child in his third lustrum: but in a wilderness–in so magnificent a wilderness as that old principality, fifteen years have a far deeper meaning. 18573|2|6|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
116|The beautiful Lady Mary! 18785|0|7|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
117|How could she die? 18809|1|7|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
118|–and of consumption! 18827|2|7|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
119|But it is a path I have prayed to follow. 18847|3|7|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
120|I would wish all I love to perish of that gentle disease. 18888|4|7|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
121|How glorious–to depart in the heyday of the young blood–the heart of all passion–the imagination all fire–amid the remembrances of happier days–in the fall of the year- and so be buried up forever in the gorgeous autumnal leaves! 18945|5|7|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
122|Thus died the Lady Mary. 19174|0|8|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
123|The young Baron Frederick stood without a living relative by the coffin of his dead mother. 19198|1|8|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
124|He placed his hand upon her placid forehead. 19289|2|8|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
125|No shudder came over his delicate frame–no sigh from his flinty bosom. 19333|3|8|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
126|Heartless, self-willed and impetuous from his childhood, he had reached the age of which I speak through a career of unfeeling, wanton, and reckless dissipation; and a barrier had long since arisen in the channel of all holy thoughts and gentle recollections. 19403|4|8|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
127|From some peculiar circumstances attending the administration of his father, the young Baron, at the decease of the former, entered immediately upon his vast possessions. 19662|0|9|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
128|Such estates were seldom held before by a nobleman of Hungary. 19832|1|9|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
129|His castles were without number. 19894|2|9|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
130|"The chief in point of splendor and extent was the ""Chateau Metzengerstein"". 19926"|3|9|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
131|The boundary line of his dominions was never clearly defined; but his principal park embraced a circuit of fifty miles. 20001|4|9|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
132|And stepped at once into a cooler clime. 20120|0|1|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
133|"""No what""? 20160"|0|10|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
134|"said his majesty–""come, sir, strip""! 20170"|1|10|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
135|"""Strip, indeed! 20206"|0|11|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
136|very pretty i' faith! 20221|1|11|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
137|no, sir, I shall not strip. 20242|2|11|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
138|"Who are you, pray, that I, Duc De L'Omelette, Prince de Foie-Gras, just come of age, author of the 'Mazurkiad,' and Member of the Academy, should divest myself at your bidding of the sweetest pantaloons ever made by Bourdon, the daintiest robe-de-chambre ever put together by Rombert–to say nothing of the taking my hair out of paper–not to mention the trouble I should have in drawing off my gloves""? 20269"|3|11|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
139|"""Who am I? 20670"|0|12|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
140|–ah, true! 20680|1|12|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
141|I am Baal-Zebub, Prince of the Fly. 20690|2|12|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
142|I took thee, just now, from a rose-wood coffin inlaid with ivory. 20725|3|12|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
143|Thou wast curiously scented, and labelled as per invoice. 20790|4|12|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
144|Belial sent thee,–my Inspector of Cemeteries. 20847|5|12|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
145|"The pantaloons, which thou sayest were made by Bourdon, are an excellent pair of linen drawers, and thy robe-de-chambre is a shroud of no scanty dimensions"". 20892"|6|12|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
146|"""Sir""! 21049"|0|13|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
147|"replied the Duc, ""I am not to be insulted with impunity! 21055"|1|13|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
148|- Sir! 21111|2|13|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
149|I shall take the earliest opportunity of avenging this insult! 21117|3|13|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
150|- Sir! 21179|4|13|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
151|you shall hear from me! 21185|5|13|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
152|"in the meantime au revoir""! 21208"|6|13|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
153|–and the Duc was bowing himself out of the Satanic presence, when he was interrupted and brought back by a gentleman in waiting. 21235|7|13|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
154|Hereupon his Grace rubbed his eyes, yawned, shrugged his shoulders, reflected. 21363|8|13|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
155|Having become satisfied of his identity, he took a bird's eye view of his whereabouts. 21441|9|13|The Duc De L'Omelette|1832-03-03 00:00:00|['Humor']
