sentence_text|sentence_number|paragraph_number|title|publication_date|genre
The prophecy seemed to imply–if it implied anything–a final triumph on the part of the already more powerful house; and was of course remembered with the more bitter animosity by the weaker and less influential.|6|4|Metzengerstein|January 14, 1832|Horror / Satire
Wilhelm, Count Berlifitzing, although loftily descended, was, at the epoch of this narrative, an infirm and doting old man, remarkable for nothing but an inordinate and inveterate personal antipathy to the family of his rival, and so passionate a love of horses, and of hunting, that neither bodily infirmity, great age, nor mental incapacity, prevented his daily participation in the dangers of the chase.|0|5|Metzengerstein|January 14, 1832|Horror / Satire
Frederick, Baron Metzengerstein, was, on the other hand, not yet Mary, followed him quickly after.|0|6|Metzengerstein|January 14, 1832|Horror / Satire
Frederick was, at that time, in his fifteenth year.|1|6|Metzengerstein|January 14, 1832|Horror / Satire
In a city, fifteen years are no long period–a child may be still a child in his third lustrum: but in a wilderness–in so magnificent a wilderness as that old principality, fifteen years have a far deeper meaning.|2|6|Metzengerstein|January 14, 1832|Horror / Satire
The beautiful Lady Mary!|0|7|Metzengerstein|January 14, 1832|Horror / Satire
How could she die?|1|7|Metzengerstein|January 14, 1832|Horror / Satire
–and of consumption!|2|7|Metzengerstein|January 14, 1832|Horror / Satire
But it is a path I have prayed to follow.|3|7|Metzengerstein|January 14, 1832|Horror / Satire
I would wish all I love to perish of that gentle disease.|4|7|Metzengerstein|January 14, 1832|Horror / Satire
How glorious–to depart in the heyday of the young blood–the heart of all passion–the imagination all fire–amid the remembrances of happier days–in the fall of the year- and so be buried up forever in the gorgeous autumnal leaves!|5|7|Metzengerstein|January 14, 1832|Horror / Satire
Thus died the Lady Mary.|0|8|Metzengerstein|January 14, 1832|Horror / Satire
The young Baron Frederick stood without a living relative by the coffin of his dead mother.|1|8|Metzengerstein|January 14, 1832|Horror / Satire
He placed his hand upon her placid forehead.|2|8|Metzengerstein|January 14, 1832|Horror / Satire
No shudder came over his delicate frame–no sigh from his flinty bosom.|3|8|Metzengerstein|January 14, 1832|Horror / Satire
Heartless, self-willed and impetuous from his childhood, he had reached the age of which I speak through a career of unfeeling, wanton, and reckless dissipation; and a barrier had long since arisen in the channel of all holy thoughts and gentle recollections.|4|8|Metzengerstein|January 14, 1832|Horror / Satire
From some peculiar circumstances attending the administration of his father, the young Baron, at the decease of the former, entered immediately upon his vast possessions.|0|9|Metzengerstein|January 14, 1832|Horror / Satire
Such estates were seldom held before by a nobleman of Hungary.|1|9|Metzengerstein|January 14, 1832|Horror / Satire
His castles were without number.|2|9|Metzengerstein|January 14, 1832|Horror / Satire
"The chief in point of splendor and extent was the ""Chateau Metzengerstein""."|3|9|Metzengerstein|January 14, 1832|Horror / Satire
The boundary line of his dominions was never clearly defined; but his principal park embraced a circuit of fifty miles.|4|9|Metzengerstein|January 14, 1832|Horror / Satire
Upon the succession of a proprietor so young, with a character so well known, to a fortune so unparalleled, little speculation was afloat in regard to his probable course of conduct.|0|10|Metzengerstein|January 14, 1832|Horror / Satire
And, indeed, for the space of three days, the behavior of the heir out-heroded Herod, and fairly surpassed the expectations of his most enthusiastic admirers.|1|10|Metzengerstein|January 14, 1832|Horror / Satire
Shameful debaucheries–flagrant treacheries–unheard-of atrocities–gave his trembling vassals quickly to understand that no servile submission on their part–no punctilios of conscience on his own–were thenceforward to prove any security against the remorseless fangs of a petty Caligula.|2|10|Metzengerstein|January 14, 1832|Horror / Satire
On the night of the fourth day, the stables of the castle Berlifitzing were discovered to be on fire; and the unanimous opinion of the neighborhood added the crime of the incendiary to the already hideous list of the Baron's misdemeanors and enormities.|3|10|Metzengerstein|January 14, 1832|Horror / Satire
But during the tumult occasioned by this occurrence, the young nobleman himself sat apparently buried in meditation, in a vast and desolate upper apartment of the family palace of Metzengerstein.|0|11|Metzengerstein|January 14, 1832|Horror / Satire
The rich although faded tapestry hangings which swung gloomily upon the walls, represented the shadowy and majestic forms of a thousand illustrious ancestors.|1|11|Metzengerstein|January 14, 1832|Horror / Satire
Here, rich-ermined priests, and pontifical dignitaries, familiarly seated with the autocrat and the sovereign, put a veto on the wishes of a temporal king, or restrained with the fiat of papal supremacy the rebellious sceptre of the Arch-enemy.|2|11|Metzengerstein|January 14, 1832|Horror / Satire
There, the dark, tall statures of the Princes Metzengerstein–their muscular war-coursers plunging over the carcasses of fAllan foes–startled the steadiest nerves with their vigorous expression; and here, again, the voluptuous and swan-like figures of the dames of days gone by, floated away in the mazes of an unreal dance to the strains of imaginary melody.|3|11|Metzengerstein|January 14, 1832|Horror / Satire
But as the Baron listened, or affected to listen, to the gradually increasing uproar in the stables of Berlifitzing–or perhaps pondered upon some more novel, some more decided act of audacity–his eyes became unwittingly rivetted to the figure of an enormous, and unnaturally colored horse, represented in the tapestry as belonging to a Saracen ancestor of the family of his rival.|0|12|Metzengerstein|January 14, 1832|Horror / Satire
The horse itself, in the foreground of the design, stood motionless and statue-like–while farther back, its discomfited rider perished by the dagger of a Metzengerstein.|1|12|Metzengerstein|January 14, 1832|Horror / Satire
On Frederick's lip arose a fiendish expression, as he became aware of the direction which his glance had, without his consciousness, assumed.|0|13|Metzengerstein|January 14, 1832|Horror / Satire
Yet he did not remove it.|1|13|Metzengerstein|January 14, 1832|Horror / Satire
On the contrary, he could by no means account for the overwhelming anxiety which appeared falling like a pall upon his senses.|2|13|Metzengerstein|January 14, 1832|Horror / Satire
It was with difficulty that he reconciled his dreamy and incoherent feelings with the certainty of being awake.|3|13|Metzengerstein|January 14, 1832|Horror / Satire
The longer he gazed the more absorbing became the spell–the more impossible did it appear that he could ever withdraw his glance from the fascination of that tapestry.|4|13|Metzengerstein|January 14, 1832|Horror / Satire
But the tumult without becoming suddenly more violent, with a compulsory exertion he diverted his attention to the glare of ruddy light thrown full by the flaming stables upon the windows of the apartment.|5|13|Metzengerstein|January 14, 1832|Horror / Satire
The action, however, was but momentary, his gaze returned mechanically to the wall.|0|14|Metzengerstein|January 14, 1832|Horror / Satire
To his extreme horror and astonishment, the head of the gigantic steed had, in the meantime, altered its position.|1|14|Metzengerstein|January 14, 1832|Horror / Satire
The neck of the animal, before arched, as if in compassion, over the prostrate body of its lord, was now extended, at full length, in the direction of the Baron.|2|14|Metzengerstein|January 14, 1832|Horror / Satire
The eyes, before invisible, now wore an energetic and human expression, while they gleamed with a fiery and unusual red; and the distended lips of the apparently enraged horse left in full view his gigantic and disgusting teeth.|3|14|Metzengerstein|January 14, 1832|Horror / Satire
Stupefied with terror, the young nobleman tottered to the door.|0|15|Metzengerstein|January 14, 1832|Horror / Satire
As he threw it open, a flash of red light, streaming far into the chamber, flung his shadow with a clear outline against the quivering tapestry, and he shuddered to perceive that shadow–as he staggered awhile upon the threshold–assuming the exact position, and precisely filling up the contour, of the relentless and triumphant murderer of the Saracen Berlifitzing.|1|15|Metzengerstein|January 14, 1832|Horror / Satire
To lighten the depression of his spirits, the Baron hurried into the open air.|0|16|Metzengerstein|January 14, 1832|Horror / Satire
At the principal gate of the palace he encountered three equerries.|1|16|Metzengerstein|January 14, 1832|Horror / Satire
With much difficulty, and at the imminent peril of their lives, they were restraining the convulsive plunges of a gigantic and fiery-colored horse.|2|16|Metzengerstein|January 14, 1832|Horror / Satire
"""Whose horse?"|0|17|Metzengerstein|January 14, 1832|Horror / Satire
"Where did you get him""?"|1|17|Metzengerstein|January 14, 1832|Horror / Satire
demanded the youth, in a querulous and husky tone of voice, as he became instantly aware that the mysterious steed in the tapestried chamber was the very counterpart of the furious animal before his eyes.|2|17|Metzengerstein|January 14, 1832|Horror / Satire
"""He is your own property, sire,"" replied one of the equerries, ""at least he is claimed by no other owner."|0|18|Metzengerstein|January 14, 1832|Horror / Satire
We caught him flying, all smoking and foaming with rage, from the burning stables of the Castle Berlifitzing.|1|18|Metzengerstein|January 14, 1832|Horror / Satire
Supposing him to have belonged to the old Count's stud of foreign horses, we led him back as an estray.|2|18|Metzengerstein|January 14, 1832|Horror / Satire
But the grooms there disclaim any title to the creature; which is strange, since he bears evident marks of having made a narrow escape from the flames.|3|18|Metzengerstein|January 14, 1832|Horror / Satire
"""The letters W. V. B. are also branded very distinctly on his forehead,"" interrupted a second equerry, ""I supposed them, of course, to be the initials of Wilhelm Von Berlifitzing–but all at the castle are positive in denying any knowledge of the horse""."|0|19|Metzengerstein|January 14, 1832|Horror / Satire
"""Extremely singular""!"|0|20|Metzengerstein|January 14, 1832|Horror / Satire
said the young Baron, with a musing air, and apparently unconscious of the meaning of his words.|1|20|Metzengerstein|January 14, 1832|Horror / Satire
"""He is, as you say, a remarkable horse–a prodigious horse!"|2|20|Metzengerstein|January 14, 1832|Horror / Satire
"although, as you very justly observe, of a suspicious and untractable character, let him be mine, however,"" he added, after a pause, ""perhaps a rider like Frederick of Metzengerstein, may tame even the devil from the stables of Berlifitzing""."|3|20|Metzengerstein|January 14, 1832|Horror / Satire
"""You are mistaken, my lord; the horse, as I think we mentioned, is not from the stables of the Count."|0|21|Metzengerstein|January 14, 1832|Horror / Satire
"If such had been the case, we know our duty better than to bring him into the presence of a noble of your family""."|1|21|Metzengerstein|January 14, 1832|Horror / Satire
"""True""!"|0|22|Metzengerstein|January 14, 1832|Horror / Satire
observed the Baron, dryly, and at that instant a page of the bedchamber came from the palace with a heightened color, and a precipitate step.|1|22|Metzengerstein|January 14, 1832|Horror / Satire
He whispered into his master's ear an account of the sudden disappearance of a small portion of the tapestry, in an apartment which he designated; entering, at the same time, into particulars of a minute and circumstantial character; but from the low tone of voice in which these latter were communicated, nothing escaped to gratify the excited curiosity of the equerries.|2|22|Metzengerstein|January 14, 1832|Horror / Satire
The young Frederick, during the conference, seemed agitated by a variety of emotions.|0|23|Metzengerstein|January 14, 1832|Horror / Satire
He soon, however, recovered his composure, and an expression of determined malignancy settled upon his countenance, as he gave peremptory orders that a certain chamber should be immediately locked up, and the key placed in his own possession.|1|23|Metzengerstein|January 14, 1832|Horror / Satire
"""Have you heard of the unhappy death of the old hunter Berlifitzing""?"|0|24|Metzengerstein|January 14, 1832|Horror / Satire
said one of his vassals to the Baron, as, after the departure of the page, the huge steed which that nobleman had adopted as his own, plunged and curvetted, with redoubled fury, down the long avenue which extended from the chateau to the stables of Metzengerstein.|1|24|Metzengerstein|January 14, 1832|Horror / Satire
"""No""!"|0|25|Metzengerstein|January 14, 1832|Horror / Satire
"said the Baron, turning abruptly toward the speaker, ""dead!"|1|25|Metzengerstein|January 14, 1832|Horror / Satire
"say you""?"|2|25|Metzengerstein|January 14, 1832|Horror / Satire
"""It is indeed true, my lord; and, to a noble of your name, will be, I imagine, no unwelcome intelligence""."|0|26|Metzengerstein|January 14, 1832|Horror / Satire
A rapid smile shot over the countenance of the listener.|0|27|Metzengerstein|January 14, 1832|Horror / Satire
"""How died he""?"|1|27|Metzengerstein|January 14, 1832|Horror / Satire
"""In his rash exertions to rescue a favorite portion of his hunting stud, he has himself perished miserably in the flames""."|0|28|Metzengerstein|January 14, 1832|Horror / Satire
"""I-n-d-e-e-d-""!"|0|29|Metzengerstein|January 14, 1832|Horror / Satire
ejaculated the Baron, as if slowly and deliberately impressed with the truth of some exciting idea.|1|29|Metzengerstein|January 14, 1832|Horror / Satire
"""Indeed;"" repeated the vassal."|0|30|Metzengerstein|January 14, 1832|Horror / Satire
"""Shocking""!"|0|31|Metzengerstein|January 14, 1832|Horror / Satire
said the youth, calmly, and turned quietly into the chateau.|1|31|Metzengerstein|January 14, 1832|Horror / Satire
From this date a marked alteration took place in the outward demeanor of the dissolute young Baron Frederick Von Metzengerstein.|0|32|Metzengerstein|January 14, 1832|Horror / Satire
Indeed, his behavior disappointed every expectation, and proved little in accordance with the views of many a manoeuvering mamma; while his habits and manner, still less than formerly, offered any thing congenial with those of the neighboring aristocracy.|1|32|Metzengerstein|January 14, 1832|Horror / Satire
He was never to be seen beyond the limits of his own domain, and, in this wide and social world, was utterly companionless–unless, indeed, that unnatural, impetuous, and fiery-colored horse, which he henceforward continually bestrode, had any mysterious right to the title of his friend.|2|32|Metzengerstein|January 14, 1832|Horror / Satire
Numerous invitations on the part of the neighborhood for a long time, however, periodically came in.|0|33|Metzengerstein|January 14, 1832|Horror / Satire
"""Will the Baron honor our festivals with his presence""?"|1|33|Metzengerstein|January 14, 1832|Horror / Satire
"""Will the Baron join us in a hunting of the boar""?"|2|33|Metzengerstein|January 14, 1832|Horror / Satire
"–""Metzengerstein does not hunt;"" ""Metzengerstein will not attend,"" were the haughty and laconic answers."|3|33|Metzengerstein|January 14, 1832|Horror / Satire
These repeated insults were not to be endured by an imperious nobility.|0|34|Metzengerstein|January 14, 1832|Horror / Satire
Such invitations became less cordial–less frequent–in time they ceased altogether.|1|34|Metzengerstein|January 14, 1832|Horror / Satire
"The widow of the unfortunate Count Berlifitzing was even heard to express a hope ""that the Baron might be at home when he did not wish to be at home, since he disdained the company of his equals; and ride when he did not wish to ride, since he preferred the society of a horse""."|2|34|Metzengerstein|January 14, 1832|Horror / Satire
This to be sure was a very silly explosion of hereditary pique; and merely proved how singularly unmeaning our sayings are apt to become, when we desire to be unusually energetic.|3|34|Metzengerstein|January 14, 1832|Horror / Satire
The charitable, nevertheless, attributed the alteration in the conduct of the young nobleman to the natural sorrow of a son for the untimely loss of his parents–forgetting, however, his atrocious and reckless behavior during the short period immediately succeeding that bereavement.|0|35|Metzengerstein|January 14, 1832|Horror / Satire
Some there were, indeed, who suggested a too haughty idea of self-consequence and dignity.|1|35|Metzengerstein|January 14, 1832|Horror / Satire
Others again (among them may be mentioned the family physician) did not hesitate in speaking of morbid melancholy, and hereditary ill-health; while dark hints, of a more equivocal nature, were current among the multitude.|2|35|Metzengerstein|January 14, 1832|Horror / Satire
Indeed, the Baron's perverse attachment to his lately-acquired charger–an attachment which seemed to attain new strength from every fresh example of the animal's ferocious and demon-like propensities- at length became, in the eyes of all reasonable men, a hideous and unnatural fervor.|0|36|Metzengerstein|January 14, 1832|Horror / Satire
In the glare of noon–at the dead hour of night–in sickness or in health–in calm or in tempest–the young Metzengerstein seemed rivetted to the saddle of that colossal horse, whose intractable audacities so well accorded with his own spirit.|1|36|Metzengerstein|January 14, 1832|Horror / Satire
There were circumstances, moreover, which coupled with late events, gave an unearthly and portentous character to the mania of the rider, and to the capabilities of the steed.|0|37|Metzengerstein|January 14, 1832|Horror / Satire
The space passed over in a single leap had been accurately measured, and was found to exceed, by an astounding difference, the wildest expectations of the most imaginative.|1|37|Metzengerstein|January 14, 1832|Horror / Satire
The Baron, besides, had no particular name for the animal, although all the rest in his collection were distinguished by characteristic appellations.|2|37|Metzengerstein|January 14, 1832|Horror / Satire
His stable, too, was appointed at a distance from the rest; and with regard to grooming and other necessary offices, none but the owner in person had ventured to officiate, or even to enter the enclosure of that particular stall.|3|37|Metzengerstein|January 14, 1832|Horror / Satire
It was also to be observed, that although the three grooms, who had caught the steed as he fled from the conflagration at Berlifitzing, had succeeded in arresting his course, by means of a chain-bridle and noose–yet no one of the three could with any certainty affirm that he had, during that dangerous struggle, or at any period thereafter, actually placed his hand upon the body of the beast.|4|37|Metzengerstein|January 14, 1832|Horror / Satire
Instances of peculiar intelligence in the demeanor of a noble and high-spirited horse are not to be supposed capable of exciting unreasonable attention–especially among men who, daily trained to the labors of the chase, might appear well acquainted with the sagacity of a horse–but there were certain circumstances which intruded themselves per force upon the most skeptical and phlegmatic; and it is said there were times when the animal caused the gaping crowd who stood around to recoil in horror from the deep and impressive meaning of his terrible stamp–times when the young Metzengerstein turned pale and shrunk away from the rapid and searching expression of his earnest and human-looking eye.|5|37|Metzengerstein|January 14, 1832|Horror / Satire
Among all the retinue of the Baron, however, none were found to doubt the ardor of that extraordinary affection which existed on the part of the young nobleman for the fiery qualities of his horse; at least, none but an insignificant and misshapen little page, whose deformities were in everybody's way, and whose opinions were of the least possible importance.|0|38|Metzengerstein|January 14, 1832|Horror / Satire
He–if his ideas are worth mentioning at all–had the effrontery to assert that his master never vaulted into the saddle without an unaccountable and almost imperceptible shudder, and that, upon his return from every long-continued and habitual ride, an expression of triumphant malignity distorted every muscle in his countenance.|1|38|Metzengerstein|January 14, 1832|Horror / Satire
One tempestuous night, Metzengerstein, awaking from a heavy slumber, descended like a maniac from his chamber, and, mounting in hot haste, bounded away into the mazes of the forest.|0|39|Metzengerstein|January 14, 1832|Horror / Satire
An occurrence so common attracted no particular attention, but his return was looked for with intense anxiety on the part of his domestics, when, after some hours' absence, the stupendous and magnificent battlements of the Chateau Metzengerstein, were discovered crackling and rocking to their very foundation, under the influence of a dense and livid mass of ungovernable fire.|1|39|Metzengerstein|January 14, 1832|Horror / Satire
As the flames, when first seen, had already made so terrible a progress that all efforts to save any portion of the building were evidently futile, the astonished neighborhood stood idly around in silent and pathetic wonder.|0|40|Metzengerstein|January 14, 1832|Horror / Satire
But a new and fearful object soon rivetted the attention of the multitude, and proved how much more intense is the excitement wrought in the feelings of a crowd by the contemplation of human agony, than that brought about by the most appalling spectacles of inanimate matter.|1|40|Metzengerstein|January 14, 1832|Horror / Satire
"Up the long avenue of aged oaks which led from the forest to the main entrance of the Chateau Metzengerstein, a steed, bearing an unbonneted and disordered rider, was seen leaping with an impetuosity which outstripped the very Demon of the Tempest, and extorted from every stupefied beholder the ejaculation–""horrible""."|0|41|Metzengerstein|January 14, 1832|Horror / Satire
The career of the horseman was indisputably, on his own part, uncontrollable.|0|42|Metzengerstein|January 14, 1832|Horror / Satire
The agony of his countenance, the convulsive struggle of his frame, gave evidence of superhuman exertion: but no sound, save a solitary shriek, escaped from his lacerated lips, which were bitten through and through in the intensity of terror.|1|42|Metzengerstein|January 14, 1832|Horror / Satire
One instant, and the clattering of hoofs resounded sharply and shrilly above the roaring of the flames and the shrieking of the winds–another, and, clearing at a single plunge the gate-way and the moat, the steed bounded far up the tottering staircases of the palace, and, with its rider, disappeared amid the whirlwind of chaotic fire.|2|42|Metzengerstein|January 14, 1832|Horror / Satire
The fury of the tempest immediately died away, and a dead calm sullenly succeeded.|0|43|Metzengerstein|January 14, 1832|Horror / Satire
A white flame still enveloped the building like a shroud, and, streaming far away into the quiet atmosphere, shot forth a glare of preternatural light; while a cloud of smoke settled heavily over the battlements in the distinct colossal figure of–a horse.|1|43|Metzengerstein|January 14, 1832|Horror / Satire
And stepped at once into a cooler clime.|0|1|The Duc De L'Omelette|March 3, 1832|Humor
KEATS fell by a criticism.|0|2|The Duc De L'Omelette|March 3, 1832|Humor
"Who was it died of ""The Andromache""?"|1|2|The Duc De L'Omelette|March 3, 1832|Humor
* Ignoble souls!|2|2|The Duc De L'Omelette|March 3, 1832|Humor
–De L'Omelette perished of an ortolan.|3|2|The Duc De L'Omelette|March 3, 1832|Humor
L'histoire en est breve.|4|2|The Duc De L'Omelette|March 3, 1832|Humor
Assist me, Spirit of Apicius!|5|2|The Duc De L'Omelette|March 3, 1832|Humor
*Montfleury.|0|3|The Duc De L'Omelette|March 3, 1832|Humor
"The author of the Parnasse Reforme makes him thus speak in Hades:–""L'homme donc qui voudrait savoir ce dont Je suis morte, qu'il ne demande pas si'l fut de fievre ou de podagre ou d'autre chose, mais qui'l entende que ce fut de 'L'Andromache."|1|3|The Duc De L'Omelette|March 3, 1832|Humor
A golden cage bore the little winged wanderer, enamored, melting, indolent, to the Chaussee D'Antin, from its home in far Peru.|0|4|The Duc De L'Omelette|March 3, 1832|Humor
From its queenly possessor La Bellissima, to the Duc De L'Omelette, six peers of the empire conveyed the happy bird.|1|4|The Duc De L'Omelette|March 3, 1832|Humor
That night the Duc was to sup alone.|0|5|The Duc De L'Omelette|March 3, 1832|Humor
In the privacy of his bureau he reclined languidly on that ottoman for which he sacrificed his loyalty in outbidding his king–the notorious ottoman of Cadet.|1|5|The Duc De L'Omelette|March 3, 1832|Humor
He buries his face in the pillow.|0|6|The Duc De L'Omelette|March 3, 1832|Humor
The clock strikes!|1|6|The Duc De L'Omelette|March 3, 1832|Humor
Unable to restrain his feelings, his Grace swallows an olive.|2|6|The Duc De L'Omelette|March 3, 1832|Humor
At this moment the door gently opens to the sound of soft music, and lo!|3|6|The Duc De L'Omelette|March 3, 1832|Humor
the most delicate of birds is before the most enamored of men!|4|6|The Duc De L'Omelette|March 3, 1832|Humor
But what inexpressible dismay now overshadows the countenance of the Duc?|5|6|The Duc De L'Omelette|March 3, 1832|Humor
"- ""Horreur!"|6|6|The Duc De L'Omelette|March 3, 1832|Humor
–chien!|7|6|The Duc De L'Omelette|March 3, 1832|Humor
–Baptiste!|8|6|The Duc De L'Omelette|March 3, 1832|Humor
–l'oiseau!|9|6|The Duc De L'Omelette|March 3, 1832|Humor
ah, bon Dieu!|10|6|The Duc De L'Omelette|March 3, 1832|Humor
"cet oiseau modeste que tu as deshabille de ses plumes, et que tu as servi sans papier""!"|11|6|The Duc De L'Omelette|March 3, 1832|Humor
It is superfluous to say more:–the Duc expired in a paroxysm of disgust.|12|6|The Duc De L'Omelette|March 3, 1832|Humor
"""Ha!"|0|7|The Duc De L'Omelette|March 3, 1832|Humor
ha!|1|7|The Duc De L'Omelette|March 3, 1832|Humor
"ha""!"|2|7|The Duc De L'Omelette|March 3, 1832|Humor
said his Grace on the third day after his decease.|3|7|The Duc De L'Omelette|March 3, 1832|Humor
"""He!"|0|8|The Duc De L'Omelette|March 3, 1832|Humor
he!|1|8|The Duc De L'Omelette|March 3, 1832|Humor
"he""!"|2|8|The Duc De L'Omelette|March 3, 1832|Humor
replied the Devil faintly, drawing himself up with an air of hauteur.|3|8|The Duc De L'Omelette|March 3, 1832|Humor
"""Why, surely you are not serious,"" retorted De L'Omelette."|0|9|The Duc De L'Omelette|March 3, 1832|Humor
"""I have sinned–c'est vrai–but, my good sir, consider!"|1|9|The Duc De L'Omelette|March 3, 1832|Humor
"–you have no actual intention of putting such–such barbarous threats into execution""."|2|9|The Duc De L'Omelette|March 3, 1832|Humor
"""No what""?"|0|10|The Duc De L'Omelette|March 3, 1832|Humor
"said his majesty–""come, sir, strip""!"|1|10|The Duc De L'Omelette|March 3, 1832|Humor
"""Strip, indeed!"|0|11|The Duc De L'Omelette|March 3, 1832|Humor
very pretty i' faith!|1|11|The Duc De L'Omelette|March 3, 1832|Humor
no, sir, I shall not strip.|2|11|The Duc De L'Omelette|March 3, 1832|Humor
"Who are you, pray, that I, Duc De L'Omelette, Prince de Foie-Gras, just come of age, author of the 'Mazurkiad,' and Member of the Academy, should divest myself at your bidding of the sweetest pantaloons ever made by Bourdon, the daintiest robe-de-chambre ever put together by Rombert–to say nothing of the taking my hair out of paper–not to mention the trouble I should have in drawing off my gloves""?"|3|11|The Duc De L'Omelette|March 3, 1832|Humor
"""Who am I?"|0|12|The Duc De L'Omelette|March 3, 1832|Humor
–ah, true!|1|12|The Duc De L'Omelette|March 3, 1832|Humor
I am Baal-Zebub, Prince of the Fly.|2|12|The Duc De L'Omelette|March 3, 1832|Humor
I took thee, just now, from a rose-wood coffin inlaid with ivory.|3|12|The Duc De L'Omelette|March 3, 1832|Humor
Thou wast curiously scented, and labelled as per invoice.|4|12|The Duc De L'Omelette|March 3, 1832|Humor
Belial sent thee,–my Inspector of Cemeteries.|5|12|The Duc De L'Omelette|March 3, 1832|Humor
"The pantaloons, which thou sayest were made by Bourdon, are an excellent pair of linen drawers, and thy robe-de-chambre is a shroud of no scanty dimensions""."|6|12|The Duc De L'Omelette|March 3, 1832|Humor
"""Sir""!"|0|13|The Duc De L'Omelette|March 3, 1832|Humor
"replied the Duc, ""I am not to be insulted with impunity!"|1|13|The Duc De L'Omelette|March 3, 1832|Humor
- Sir!|2|13|The Duc De L'Omelette|March 3, 1832|Humor
I shall take the earliest opportunity of avenging this insult!|3|13|The Duc De L'Omelette|March 3, 1832|Humor
- Sir!|4|13|The Duc De L'Omelette|March 3, 1832|Humor
you shall hear from me!|5|13|The Duc De L'Omelette|March 3, 1832|Humor
"in the meantime au revoir""!"|6|13|The Duc De L'Omelette|March 3, 1832|Humor
–and the Duc was bowing himself out of the Satanic presence, when he was interrupted and brought back by a gentleman in waiting.|7|13|The Duc De L'Omelette|March 3, 1832|Humor
Hereupon his Grace rubbed his eyes, yawned, shrugged his shoulders, reflected.|8|13|The Duc De L'Omelette|March 3, 1832|Humor
Having become satisfied of his identity, he took a bird's eye view of his whereabouts.|9|13|The Duc De L'Omelette|March 3, 1832|Humor
The apartment was superb.|0|14|The Duc De L'Omelette|March 3, 1832|Humor
Even De L'Omelette pronounced it bien comme il faut.|1|14|The Duc De L'Omelette|March 3, 1832|Humor
It was not its length nor its breadth,–but its height–ah, that was appalling!|2|14|The Duc De L'Omelette|March 3, 1832|Humor
–There was no ceiling–certainly none- but a dense whirling mass of fiery-colored clouds.|3|14|The Duc De L'Omelette|March 3, 1832|Humor
His Grace's brain reeled as he glanced upward.|4|14|The Duc De L'Omelette|March 3, 1832|Humor
From above, hung a chain of an unknown blood-red metal–its upper end lost, like the city of Boston, parmi les nues.|5|14|The Duc De L'Omelette|March 3, 1832|Humor
From its nether extremity swung a large cresset.|6|14|The Duc De L'Omelette|March 3, 1832|Humor
